Use Group,Uses Header,Uses (NAICS Code),NAICS Code,Zoning District,Permitted Value,Not permitted,Permitted,Permitted with limitations,Special permit required,Size restriction,Additional conditions,Open use allowances
X,Food Manufacturing (311),Animal food manufacturing (3111),3111,R1,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Sugar manufacturing (31131),31131,R1,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),3113,R1,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Animal slaughtering and processing (3116),3116,R1,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),3117,R1,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),All other food manufacturing (in 311),311,R1,–,True,False,False,False,False,False,False
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),31214,R1,–,True,False,False,False,False,False,False
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),3121,R1,–,True,False,False,False,False,False,False
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),3122,R1,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Animal food manufacturing (3111),3111,R2,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Sugar manufacturing (31131),31131,R2,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),3113,R2,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Animal slaughtering and processing (3116),3116,R2,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),3117,R2,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),All other food manufacturing (in 311),311,R2,–,True,False,False,False,False,False,False
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),31214,R2,–,True,False,False,False,False,False,False
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),3121,R2,–,True,False,False,False,False,False,False
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),3122,R2,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Animal food manufacturing (3111),3111,R3,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Sugar manufacturing (31131),31131,R3,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),3113,R3,–,True,False,False,False,False,False,False
X,Food Manufacturing (311),Animal slaughtering and processing (3116),3116,R3,–,True,False,False,False,False,False,False
